Electorate,Suburb,Postcode
Riverton,Riverton,6148
Riverton,Rossmoyne,6148
Riverton,Shelley,6148
Rockingham,Port Kennedy,6172
Rockingham,Rockingham,6168
Rockingham,Safety Bay,6169
Rockingham,Warnbro,6169
Roe,Albany,6330
Roe,Denmark,6333
Roe,Esperance,6450
Roe,Katanning,6317
Scarborough,Doubleview,6018
Scarborough,Innaloo,6018
Scarborough,Karrinyup,6018
Scarborough,Scarborough,6019
Secret Harbour,Secret Harbour,6173
Secret Harbour,Singleton,6175
South Perth,Como,6152
South Perth,Kensington,6151
South Perth,Manning,6152
South Perth,South Perth,6151
Southern River,Canning Vale,6155
Southern River,Harrisdale,6112
Southern River,Southern River,6110
Swan Hills,Brigadoon,6069
Swan Hills,Bullsbrook,6084
Swan Hills,Mundaring,6073
Swan Hills,Swan View,6056
Thornlie,Gosnells,6110
Thornlie,Maddington,6109
Thornlie,Thornlie,6108
Vasse,Busselton,6280
Vasse,Dunsborough,6281
Vasse,Margaret River,6285
Vasse,Yallingup,6282
Victoria Park,Carlisle,6101
Victoria Park,East Victoria Park,6101
Victoria Park,Lathlain,6100
Victoria Park,Victoria Park,6100
Wanneroo,Alkimos,6038
Wanneroo,Eglinton,6034
Wanneroo,Neerabup,6031
Wanneroo,Wanneroo,6065
Warren - Blackwood,Bridgetown,6255
Warren - Blackwood,Manjimup,6258
Warren - Blackwood,Nannup,6275
Warren - Blackwood,Pemberton,6260
West Swan,Bullsbrook,6084
West Swan,Ellenbrook,6069
West Swan,The Vines,6069
West Swan,West Swan,6055
